                   ALLTRACKS_maxImpactZ = 2.400000 |                    ALLTRACKS_maxImpactZ = 3.000000 |                    ALLTRACKS_maxImpactZ = 3.600000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.028539 +- 0.250300 (-4.076657%)  |          Lambda: 1.072251 +- 0.233456 (0.000000%)  |          Lambda: 1.090373 +- 0.241447 (1.690089%)  | 
        Radius: 5.790142 +- 0.765815 (-2.224135%)  |          Radius: 5.921852 +- 0.683901 (0.000000%)  |          Radius: 5.987349 +- 0.743455 (1.106022%)  | 
          Ref0: 0.293862 +- 0.117399 (-0.930143%)  |            Ref0: 0.296621 +- 0.116541 (0.000000%)  |            Ref0: 0.302513 +- 0.119472 (1.986373%)  | 
           Imf0: 0.430037 +- 0.108363 (2.088358%)  |            Imf0: 0.421240 +- 0.106381 (0.000000%)  |            Imf0: 0.421361 +- 0.103743 (0.028725%)  | 
           d0: -4.569657 +- 1.913626 (-3.799733%)  |            d0: -4.750150 +- 1.952376 (-0.000000%)  |            d0: -4.724817 +- 1.904076 (-0.533309%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.028539 +- 0.250300 (-4.076657%)  |          Lambda: 1.072251 +- 0.233456 (0.000000%)  |          Lambda: 1.090373 +- 0.241447 (1.690089%)  | 
        Radius: 5.790142 +- 0.765815 (-2.224135%)  |          Radius: 5.921852 +- 0.683901 (0.000000%)  |          Radius: 5.987349 +- 0.743455 (1.106022%)  | 
          Ref0: 0.293862 +- 0.117399 (-0.930143%)  |            Ref0: 0.296621 +- 0.116541 (0.000000%)  |            Ref0: 0.302513 +- 0.119472 (1.986373%)  | 
           Imf0: 0.430037 +- 0.108363 (2.088358%)  |            Imf0: 0.421240 +- 0.106381 (0.000000%)  |            Imf0: 0.421361 +- 0.103743 (0.028725%)  | 
           d0: -4.569657 +- 1.913626 (-3.799733%)  |            d0: -4.750150 +- 1.952376 (-0.000000%)  |            d0: -4.724817 +- 1.904076 (-0.533309%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.769184 +- 0.170657 (-1.836081%)  |          Lambda: 0.783571 +- 0.163796 (0.000000%)  |          Lambda: 0.789946 +- 0.165173 (0.813583%)  | 
        Radius: 4.442027 +- 0.509030 (-0.970426%)  |          Radius: 4.485556 +- 0.479330 (0.000000%)  |          Radius: 4.516012 +- 0.499594 (0.678979%)  | 
          Ref0: 0.293862 +- 0.117399 (-0.930143%)  |            Ref0: 0.296621 +- 0.116541 (0.000000%)  |            Ref0: 0.302513 +- 0.119472 (1.986373%)  | 
           Imf0: 0.430037 +- 0.108363 (2.088358%)  |            Imf0: 0.421240 +- 0.106381 (0.000000%)  |            Imf0: 0.421361 +- 0.103743 (0.028725%)  | 
           d0: -4.569657 +- 1.913626 (-3.799733%)  |            d0: -4.750150 +- 1.952376 (-0.000000%)  |            d0: -4.724817 +- 1.904076 (-0.533309%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.769184 +- 0.170657 (-1.836081%)  |          Lambda: 0.783571 +- 0.163796 (0.000000%)  |          Lambda: 0.789946 +- 0.165173 (0.813583%)  | 
        Radius: 4.442027 +- 0.509030 (-0.970426%)  |          Radius: 4.485556 +- 0.479330 (0.000000%)  |          Radius: 4.516012 +- 0.499594 (0.678979%)  | 
          Ref0: 0.293862 +- 0.117399 (-0.930143%)  |            Ref0: 0.296621 +- 0.116541 (0.000000%)  |            Ref0: 0.302513 +- 0.119472 (1.986373%)  | 
           Imf0: 0.430037 +- 0.108363 (2.088358%)  |            Imf0: 0.421240 +- 0.106381 (0.000000%)  |            Imf0: 0.421361 +- 0.103743 (0.028725%)  | 
           d0: -4.569657 +- 1.913626 (-3.799733%)  |            d0: -4.750150 +- 1.952376 (-0.000000%)  |            d0: -4.724817 +- 1.904076 (-0.533309%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
