                   ALLTRACKS_maxImpactZ = 2.400000 |                    ALLTRACKS_maxImpactZ = 3.000000 |                    ALLTRACKS_maxImpactZ = 3.600000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.566687 +- 0.144183 (-4.242685%)  |          Lambda: 0.591795 +- 0.132118 (0.000000%)  |          Lambda: 0.604458 +- 0.153728 (2.139761%)  | 
        Radius: 5.281148 +- 0.654457 (-2.127123%)  |          Radius: 5.395926 +- 0.562800 (0.000000%)  |          Radius: 5.461464 +- 0.667996 (1.214583%)  | 
          Ref0: -0.598175 +- 0.130309 (0.652197%)  |          Ref0: -0.594299 +- 0.121267 (-0.000000%)  |          Ref0: -0.590636 +- 0.128525 (-0.616356%)  | 
           Imf0: 0.510167 +- 0.131184 (1.416988%)  |            Imf0: 0.503039 +- 0.122324 (0.000000%)  |            Imf0: 0.507541 +- 0.126150 (0.894960%)  | 
            d0: 0.871786 +- 0.454424 (-3.698148%)  |              d0: 0.905264 +- 0.433038 (0.000000%)  |             d0: 0.904382 +- 0.439823 (-0.097430%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.566687 +- 0.144183 (-4.242685%)  |          Lambda: 0.591795 +- 0.132118 (0.000000%)  |          Lambda: 0.604458 +- 0.153728 (2.139761%)  | 
        Radius: 5.281148 +- 0.654457 (-2.127123%)  |          Radius: 5.395926 +- 0.562800 (0.000000%)  |          Radius: 5.461464 +- 0.667996 (1.214583%)  | 
          Ref0: -0.598175 +- 0.130309 (0.652197%)  |          Ref0: -0.594299 +- 0.121267 (-0.000000%)  |          Ref0: -0.590636 +- 0.128525 (-0.616356%)  | 
           Imf0: 0.510167 +- 0.131184 (1.416988%)  |            Imf0: 0.503039 +- 0.122324 (0.000000%)  |            Imf0: 0.507541 +- 0.126150 (0.894960%)  | 
            d0: 0.871786 +- 0.454424 (-3.698148%)  |              d0: 0.905264 +- 0.433038 (0.000000%)  |             d0: 0.904382 +- 0.439823 (-0.097430%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.474562 +- 0.113673 (-2.483119%)  |          Lambda: 0.486646 +- 0.111260 (0.000000%)  |          Lambda: 0.491374 +- 0.117393 (0.971548%)  | 
        Radius: 4.355459 +- 0.482869 (-1.143325%)  |          Radius: 4.405832 +- 0.458370 (0.000000%)  |          Radius: 4.433920 +- 0.487512 (0.637519%)  | 
          Ref0: -0.598175 +- 0.130309 (0.652197%)  |          Ref0: -0.594299 +- 0.121267 (-0.000000%)  |          Ref0: -0.590636 +- 0.128525 (-0.616356%)  | 
           Imf0: 0.510167 +- 0.131184 (1.416988%)  |            Imf0: 0.503039 +- 0.122324 (0.000000%)  |            Imf0: 0.507541 +- 0.126150 (0.894960%)  | 
            d0: 0.871786 +- 0.454424 (-3.698148%)  |              d0: 0.905264 +- 0.433038 (0.000000%)  |             d0: 0.904382 +- 0.439823 (-0.097430%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.474562 +- 0.113673 (-2.483119%)  |          Lambda: 0.486646 +- 0.111260 (0.000000%)  |          Lambda: 0.491374 +- 0.117393 (0.971548%)  | 
        Radius: 4.355459 +- 0.482869 (-1.143325%)  |          Radius: 4.405832 +- 0.458370 (0.000000%)  |          Radius: 4.433920 +- 0.487512 (0.637519%)  | 
          Ref0: -0.598175 +- 0.130309 (0.652197%)  |          Ref0: -0.594299 +- 0.121267 (-0.000000%)  |          Ref0: -0.590636 +- 0.128525 (-0.616356%)  | 
           Imf0: 0.510167 +- 0.131184 (1.416988%)  |            Imf0: 0.503039 +- 0.122324 (0.000000%)  |            Imf0: 0.507541 +- 0.126150 (0.894960%)  | 
            d0: 0.871786 +- 0.454424 (-3.698148%)  |              d0: 0.905264 +- 0.433038 (0.000000%)  |             d0: 0.904382 +- 0.439823 (-0.097430%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
