               ALLV0S_maxDcaV0Daughters = 0.300000 |                ALLV0S_maxDcaV0Daughters = 0.400000 |                ALLV0S_maxDcaV0Daughters = 0.500000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.100000 +- 0.410032 (0.000000%)  |          Lambda: 1.100000 +- 0.369969 (0.000000%)  |          Lambda: 1.100000 +- 0.324796 (0.000000%)  | 
        Radius: 5.529481 +- 0.546358 (-2.921495%)  |          Radius: 5.695886 +- 0.575901 (0.000000%)  |          Radius: 5.817667 +- 0.498637 (2.138052%)  | 
          Ref0: 0.189208 +- 0.092596 (-9.512286%)  |            Ref0: 0.209098 +- 0.105425 (0.000000%)  |            Ref0: 0.221628 +- 0.095490 (5.992405%)  | 
          Imf0: 0.319361 +- 0.082166 (-4.465311%)  |            Imf0: 0.334288 +- 0.090303 (0.000000%)  |            Imf0: 0.346227 +- 0.080525 (3.571471%)  | 
           d0: -6.103397 +- 2.538108 (-2.308994%)  |            d0: -6.247655 +- 2.640702 (-0.000000%)  |            d0: -6.101222 +- 2.281507 (-2.343807%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.100000 +- 0.410032 (0.000000%)  |          Lambda: 1.100000 +- 0.369969 (0.000000%)  |          Lambda: 1.100000 +- 0.324796 (0.000000%)  | 
        Radius: 5.529481 +- 0.546358 (-2.921495%)  |          Radius: 5.695886 +- 0.575901 (0.000000%)  |          Radius: 5.817667 +- 0.498637 (2.138052%)  | 
          Ref0: 0.189208 +- 0.092596 (-9.512286%)  |            Ref0: 0.209098 +- 0.105425 (0.000000%)  |            Ref0: 0.221628 +- 0.095490 (5.992405%)  | 
          Imf0: 0.319361 +- 0.082166 (-4.465311%)  |            Imf0: 0.334288 +- 0.090303 (0.000000%)  |            Imf0: 0.346227 +- 0.080525 (3.571471%)  | 
           d0: -6.103397 +- 2.538108 (-2.308994%)  |            d0: -6.247655 +- 2.640702 (-0.000000%)  |            d0: -6.101222 +- 2.281507 (-2.343807%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.814313 +- 0.127334 (3.485380%)  |          Lambda: 0.786887 +- 0.119698 (0.000000%)  |         Lambda: 0.772672 +- 0.110776 (-1.806486%)  | 
        Radius: 4.245747 +- 0.423082 (-0.445560%)  |          Radius: 4.264749 +- 0.431462 (0.000000%)  |         Radius: 4.234861 +- 0.388548 (-0.700815%)  | 
          Ref0: 0.189208 +- 0.092596 (-9.512286%)  |            Ref0: 0.209098 +- 0.105425 (0.000000%)  |            Ref0: 0.221628 +- 0.095490 (5.992405%)  | 
          Imf0: 0.319361 +- 0.082166 (-4.465311%)  |            Imf0: 0.334288 +- 0.090303 (0.000000%)  |            Imf0: 0.346227 +- 0.080525 (3.571471%)  | 
           d0: -6.103397 +- 2.538108 (-2.308994%)  |            d0: -6.247655 +- 2.640702 (-0.000000%)  |            d0: -6.101222 +- 2.281507 (-2.343807%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.814313 +- 0.127334 (3.485380%)  |          Lambda: 0.786887 +- 0.119698 (0.000000%)  |         Lambda: 0.772672 +- 0.110776 (-1.806486%)  | 
        Radius: 4.245747 +- 0.423082 (-0.445560%)  |          Radius: 4.264749 +- 0.431462 (0.000000%)  |         Radius: 4.234861 +- 0.388548 (-0.700815%)  | 
          Ref0: 0.189208 +- 0.092596 (-9.512286%)  |            Ref0: 0.209098 +- 0.105425 (0.000000%)  |            Ref0: 0.221628 +- 0.095490 (5.992405%)  | 
          Imf0: 0.319361 +- 0.082166 (-4.465311%)  |            Imf0: 0.334288 +- 0.090303 (0.000000%)  |            Imf0: 0.346227 +- 0.080525 (3.571471%)  | 
           d0: -6.103397 +- 2.538108 (-2.308994%)  |            d0: -6.247655 +- 2.640702 (-0.000000%)  |            d0: -6.101222 +- 2.281507 (-2.343807%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
