                           K0s_maxDcaV0 = 0.200000 |                            K0s_maxDcaV0 = 0.300000 |                            K0s_maxDcaV0 = 0.400000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.100000 +- 0.385615 (0.000000%)  |          Lambda: 1.100000 +- 0.370416 (0.000000%)  |          Lambda: 1.100000 +- 0.354740 (0.000000%)  | 
         Radius: 5.878205 +- 0.531387 (0.209652%)  |          Radius: 5.865907 +- 0.520133 (0.000000%)  |          Radius: 5.866884 +- 0.514293 (0.016656%)  | 
           Ref0: 0.245052 +- 0.117317 (1.078214%)  |            Ref0: 0.242438 +- 0.114024 (0.000000%)  |           Ref0: 0.242154 +- 0.112538 (-0.117143%)  | 
           Imf0: 0.364704 +- 0.094587 (0.601339%)  |            Imf0: 0.362524 +- 0.092364 (0.000000%)  |            Imf0: 0.362558 +- 0.091217 (0.009379%)  | 
           d0: -5.613844 +- 2.458011 (-0.837202%)  |            d0: -5.661240 +- 2.454727 (-0.000000%)  |            d0: -5.660239 +- 2.430138 (-0.017682%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.100000 +- 0.385615 (0.000000%)  |          Lambda: 1.100000 +- 0.370416 (0.000000%)  |          Lambda: 1.100000 +- 0.354740 (0.000000%)  | 
         Radius: 5.878205 +- 0.531387 (0.209652%)  |          Radius: 5.865907 +- 0.520133 (0.000000%)  |          Radius: 5.866884 +- 0.514293 (0.016656%)  | 
           Ref0: 0.245052 +- 0.117317 (1.078214%)  |            Ref0: 0.242438 +- 0.114024 (0.000000%)  |           Ref0: 0.242154 +- 0.112538 (-0.117143%)  | 
           Imf0: 0.364704 +- 0.094587 (0.601339%)  |            Imf0: 0.362524 +- 0.092364 (0.000000%)  |            Imf0: 0.362558 +- 0.091217 (0.009379%)  | 
           d0: -5.613844 +- 2.458011 (-0.837202%)  |            d0: -5.661240 +- 2.454727 (-0.000000%)  |            d0: -5.660239 +- 2.430138 (-0.017682%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.766079 +- 0.112739 (0.171817%)  |          Lambda: 0.764765 +- 0.111742 (0.000000%)  |         Lambda: 0.761032 +- 0.111731 (-0.488124%)  | 
         Radius: 4.328011 +- 0.423188 (0.272877%)  |          Radius: 4.316233 +- 0.415296 (0.000000%)  |         Radius: 4.303036 +- 0.415785 (-0.305753%)  | 
           Ref0: 0.245052 +- 0.117317 (1.078214%)  |            Ref0: 0.242438 +- 0.114024 (0.000000%)  |           Ref0: 0.242154 +- 0.112538 (-0.117143%)  | 
           Imf0: 0.364704 +- 0.094587 (0.601339%)  |            Imf0: 0.362524 +- 0.092364 (0.000000%)  |            Imf0: 0.362558 +- 0.091217 (0.009379%)  | 
           d0: -5.613844 +- 2.458011 (-0.837202%)  |            d0: -5.661240 +- 2.454727 (-0.000000%)  |            d0: -5.660239 +- 2.430138 (-0.017682%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.766079 +- 0.112739 (0.171817%)  |          Lambda: 0.764765 +- 0.111742 (0.000000%)  |         Lambda: 0.761032 +- 0.111731 (-0.488124%)  | 
         Radius: 4.328011 +- 0.423188 (0.272877%)  |          Radius: 4.316233 +- 0.415296 (0.000000%)  |         Radius: 4.303036 +- 0.415785 (-0.305753%)  | 
           Ref0: 0.245052 +- 0.117317 (1.078214%)  |            Ref0: 0.242438 +- 0.114024 (0.000000%)  |           Ref0: 0.242154 +- 0.112538 (-0.117143%)  | 
           Imf0: 0.364704 +- 0.094587 (0.601339%)  |            Imf0: 0.362524 +- 0.092364 (0.000000%)  |            Imf0: 0.362558 +- 0.091217 (0.009379%)  | 
           d0: -5.613844 +- 2.458011 (-0.837202%)  |            d0: -5.661240 +- 2.454727 (-0.000000%)  |            d0: -5.660239 +- 2.430138 (-0.017682%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
