                   ALLTRACKS_maxImpactZ = 2.400000 |                    ALLTRACKS_maxImpactZ = 3.000000 |                    ALLTRACKS_maxImpactZ = 3.600000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.502325 +- 0.301861 (-4.888449%)  |          Lambda: 1.579540 +- 0.304826 (0.000000%)  |          Lambda: 1.591924 +- 0.294861 (0.784026%)  | 
        Radius: 5.571573 +- 0.595273 (-2.066878%)  |          Radius: 5.689161 +- 0.588849 (0.000000%)  |          Radius: 5.718975 +- 0.585781 (0.524049%)  | 
           Ref0: 0.439789 +- 0.135045 (1.579394%)  |            Ref0: 0.432951 +- 0.134158 (0.000000%)  |            Ref0: 0.435723 +- 0.133322 (0.640257%)  | 
           Imf0: 0.557576 +- 0.121103 (4.736054%)  |            Imf0: 0.532363 +- 0.117305 (0.000000%)  |           Imf0: 0.530189 +- 0.112090 (-0.408368%)  | 
           d0: -3.822546 +- 1.343037 (-5.415582%)  |            d0: -4.041412 +- 1.403374 (-0.000000%)  |             d0: -4.042304 +- 1.364939 (0.022071%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.502325 +- 0.301861 (-4.888449%)  |          Lambda: 1.579540 +- 0.304826 (0.000000%)  |          Lambda: 1.591924 +- 0.294861 (0.784026%)  | 
        Radius: 5.571573 +- 0.595273 (-2.066878%)  |          Radius: 5.689161 +- 0.588849 (0.000000%)  |          Radius: 5.718975 +- 0.585781 (0.524049%)  | 
           Ref0: 0.439789 +- 0.135045 (1.579394%)  |            Ref0: 0.432951 +- 0.134158 (0.000000%)  |            Ref0: 0.435723 +- 0.133322 (0.640257%)  | 
           Imf0: 0.557576 +- 0.121103 (4.736054%)  |            Imf0: 0.532363 +- 0.117305 (0.000000%)  |           Imf0: 0.530189 +- 0.112090 (-0.408368%)  | 
           d0: -3.822546 +- 1.343037 (-5.415582%)  |            d0: -4.041412 +- 1.403374 (-0.000000%)  |             d0: -4.042304 +- 1.364939 (0.022071%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.261601 +- 0.239186 (-2.494594%)  |          Lambda: 1.293878 +- 0.240628 (0.000000%)  |          Lambda: 1.298934 +- 0.236708 (0.390763%)  | 
        Radius: 4.514418 +- 0.448367 (-0.976956%)  |          Radius: 4.558957 +- 0.446961 (0.000000%)  |          Radius: 4.576077 +- 0.446432 (0.375524%)  | 
           Ref0: 0.439789 +- 0.135045 (1.579394%)  |            Ref0: 0.432951 +- 0.134158 (0.000000%)  |            Ref0: 0.435723 +- 0.133322 (0.640257%)  | 
           Imf0: 0.557576 +- 0.121103 (4.736054%)  |            Imf0: 0.532363 +- 0.117305 (0.000000%)  |           Imf0: 0.530189 +- 0.112090 (-0.408368%)  | 
           d0: -3.822546 +- 1.343037 (-5.415582%)  |            d0: -4.041412 +- 1.403374 (-0.000000%)  |             d0: -4.042304 +- 1.364939 (0.022071%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.261601 +- 0.239186 (-2.494594%)  |          Lambda: 1.293878 +- 0.240628 (0.000000%)  |          Lambda: 1.298934 +- 0.236708 (0.390763%)  | 
        Radius: 4.514418 +- 0.448367 (-0.976956%)  |          Radius: 4.558957 +- 0.446961 (0.000000%)  |          Radius: 4.576077 +- 0.446432 (0.375524%)  | 
           Ref0: 0.439789 +- 0.135045 (1.579394%)  |            Ref0: 0.432951 +- 0.134158 (0.000000%)  |            Ref0: 0.435723 +- 0.133322 (0.640257%)  | 
           Imf0: 0.557576 +- 0.121103 (4.736054%)  |            Imf0: 0.532363 +- 0.117305 (0.000000%)  |           Imf0: 0.530189 +- 0.112090 (-0.408368%)  | 
           d0: -3.822546 +- 1.343037 (-5.415582%)  |            d0: -4.041412 +- 1.403374 (-0.000000%)  |             d0: -4.042304 +- 1.364939 (0.022071%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
