                      minAvgSepTrackPos = 7.000000 |                       minAvgSepTrackPos = 8.000000 |                       minAvgSepTrackPos = 9.000000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.188185 +- 0.287473 (1.748988%)  |          Lambda: 1.167761 +- 0.290321 (0.000000%)  |          Lambda: 1.189171 +- 0.265177 (1.833423%)  | 
         Radius: 6.062913 +- 0.831571 (0.510950%)  |          Radius: 6.032092 +- 0.856079 (0.000000%)  |          Radius: 6.108059 +- 0.765074 (1.259381%)  | 
           Ref0: 0.276679 +- 0.119775 (0.931692%)  |            Ref0: 0.274125 +- 0.118843 (0.000000%)  |           Ref0: 0.271799 +- 0.119375 (-0.848518%)  | 
          Imf0: 0.385029 +- 0.106721 (-0.908995%)  |            Imf0: 0.388561 +- 0.107036 (0.000000%)  |            Imf0: 0.388996 +- 0.108257 (0.111952%)  | 
           d0: -4.878546 +- 2.092594 (-0.222276%)  |            d0: -4.889414 +- 2.068444 (-0.000000%)  |             d0: -4.962104 +- 2.124113 (1.486681%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.188185 +- 0.287473 (1.748988%)  |          Lambda: 1.167761 +- 0.290321 (0.000000%)  |          Lambda: 1.189171 +- 0.265177 (1.833423%)  | 
         Radius: 6.062913 +- 0.831571 (0.510950%)  |          Radius: 6.032092 +- 0.856079 (0.000000%)  |          Radius: 6.108059 +- 0.765074 (1.259381%)  | 
           Ref0: 0.276679 +- 0.119775 (0.931692%)  |            Ref0: 0.274125 +- 0.118843 (0.000000%)  |           Ref0: 0.271799 +- 0.119375 (-0.848518%)  | 
          Imf0: 0.385029 +- 0.106721 (-0.908995%)  |            Imf0: 0.388561 +- 0.107036 (0.000000%)  |            Imf0: 0.388996 +- 0.108257 (0.111952%)  | 
           d0: -4.878546 +- 2.092594 (-0.222276%)  |            d0: -4.889414 +- 2.068444 (-0.000000%)  |             d0: -4.962104 +- 2.124113 (1.486681%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.875948 +- 0.193198 (3.703476%)  |          Lambda: 0.844666 +- 0.189720 (0.000000%)  |         Lambda: 0.810073 +- 0.171958 (-4.095465%)  | 
         Radius: 4.597518 +- 0.518671 (1.184520%)  |          Radius: 4.543697 +- 0.526159 (0.000000%)  |         Radius: 4.452387 +- 0.481873 (-2.009597%)  | 
           Ref0: 0.276679 +- 0.119775 (0.931692%)  |            Ref0: 0.274125 +- 0.118843 (0.000000%)  |           Ref0: 0.271799 +- 0.119375 (-0.848518%)  | 
          Imf0: 0.385029 +- 0.106721 (-0.908995%)  |            Imf0: 0.388561 +- 0.107036 (0.000000%)  |            Imf0: 0.388996 +- 0.108257 (0.111952%)  | 
           d0: -4.878546 +- 2.092594 (-0.222276%)  |            d0: -4.889414 +- 2.068444 (-0.000000%)  |             d0: -4.962104 +- 2.124113 (1.486681%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.875948 +- 0.193198 (3.703476%)  |          Lambda: 0.844666 +- 0.189720 (0.000000%)  |         Lambda: 0.810073 +- 0.171958 (-4.095465%)  | 
         Radius: 4.597518 +- 0.518671 (1.184520%)  |          Radius: 4.543697 +- 0.526159 (0.000000%)  |         Radius: 4.452387 +- 0.481873 (-2.009597%)  | 
           Ref0: 0.276679 +- 0.119775 (0.931692%)  |            Ref0: 0.274125 +- 0.118843 (0.000000%)  |           Ref0: 0.271799 +- 0.119375 (-0.848518%)  | 
          Imf0: 0.385029 +- 0.106721 (-0.908995%)  |            Imf0: 0.388561 +- 0.107036 (0.000000%)  |            Imf0: 0.388996 +- 0.108257 (0.111952%)  | 
           d0: -4.878546 +- 2.092594 (-0.222276%)  |            d0: -4.889414 +- 2.068444 (-0.000000%)  |             d0: -4.962104 +- 2.124113 (1.486681%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
