               ALLV0S_maxDcaV0Daughters = 0.300000 |                ALLV0S_maxDcaV0Daughters = 0.400000 |                ALLV0S_maxDcaV0Daughters = 0.500000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.500000 +- 0.197730 (0.000000%)  |          Lambda: 1.500000 +- 0.159298 (0.000000%)  |         Lambda: 1.499999 +- 0.133535 (-0.000067%)  | 
        Radius: 5.853913 +- 0.270495 (-1.770292%)  |          Radius: 5.959412 +- 0.240163 (0.000000%)  |          Radius: 6.001559 +- 0.237220 (0.707234%)  | 
          Ref0: -1.212277 +- 0.143627 (2.921557%)  |          Ref0: -1.177865 +- 0.138791 (-0.000000%)  |           Ref0: -1.201215 +- 0.136726 (1.982400%)  | 
          Imf0: 0.599533 +- 0.156805 (-8.678354%)  |            Imf0: 0.656507 +- 0.149232 (0.000000%)  |           Imf0: 0.634902 +- 0.142722 (-3.290902%)  | 
            d0: 0.625120 +- 0.447824 (-4.153864%)  |              d0: 0.652212 +- 0.427378 (0.000000%)  |              d0: 0.711811 +- 0.402630 (9.137980%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.500000 +- 0.197730 (0.000000%)  |          Lambda: 1.500000 +- 0.159298 (0.000000%)  |         Lambda: 1.499999 +- 0.133535 (-0.000067%)  | 
        Radius: 5.853913 +- 0.270495 (-1.770292%)  |          Radius: 5.959412 +- 0.240163 (0.000000%)  |          Radius: 6.001559 +- 0.237220 (0.707234%)  | 
          Ref0: -1.212277 +- 0.143627 (2.921557%)  |          Ref0: -1.177865 +- 0.138791 (-0.000000%)  |           Ref0: -1.201215 +- 0.136726 (1.982400%)  | 
          Imf0: 0.599533 +- 0.156805 (-8.678354%)  |            Imf0: 0.656507 +- 0.149232 (0.000000%)  |           Imf0: 0.634902 +- 0.142722 (-3.290902%)  | 
            d0: 0.625120 +- 0.447824 (-4.153864%)  |              d0: 0.652212 +- 0.427378 (0.000000%)  |              d0: 0.711811 +- 0.402630 (9.137980%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.084919 +- 0.167325 (1.639278%)  |          Lambda: 1.067421 +- 0.158903 (0.000000%)  |         Lambda: 1.064532 +- 0.151307 (-0.270652%)  | 
        Radius: 4.468427 +- 0.381758 (-0.201320%)  |          Radius: 4.477441 +- 0.369226 (0.000000%)  |         Radius: 4.426084 +- 0.347316 (-1.147017%)  | 
          Ref0: -1.212277 +- 0.143627 (2.921557%)  |          Ref0: -1.177865 +- 0.138791 (-0.000000%)  |           Ref0: -1.201215 +- 0.136726 (1.982400%)  | 
          Imf0: 0.599533 +- 0.156805 (-8.678354%)  |            Imf0: 0.656507 +- 0.149232 (0.000000%)  |           Imf0: 0.634902 +- 0.142722 (-3.290902%)  | 
            d0: 0.625120 +- 0.447824 (-4.153864%)  |              d0: 0.652212 +- 0.427378 (0.000000%)  |              d0: 0.711811 +- 0.402630 (9.137980%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.084919 +- 0.167325 (1.639278%)  |          Lambda: 1.067421 +- 0.158903 (0.000000%)  |         Lambda: 1.064532 +- 0.151307 (-0.270652%)  | 
        Radius: 4.468427 +- 0.381758 (-0.201320%)  |          Radius: 4.477441 +- 0.369226 (0.000000%)  |         Radius: 4.426084 +- 0.347316 (-1.147017%)  | 
          Ref0: -1.212277 +- 0.143627 (2.921557%)  |          Ref0: -1.177865 +- 0.138791 (-0.000000%)  |           Ref0: -1.201215 +- 0.136726 (1.982400%)  | 
          Imf0: 0.599533 +- 0.156805 (-8.678354%)  |            Imf0: 0.656507 +- 0.149232 (0.000000%)  |           Imf0: 0.634902 +- 0.142722 (-3.290902%)  | 
            d0: 0.625120 +- 0.447824 (-4.153864%)  |              d0: 0.652212 +- 0.427378 (0.000000%)  |              d0: 0.711811 +- 0.402630 (9.137980%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
