                          CLAM_maxDcaV0 = 0.400000 |                           CLAM_maxDcaV0 = 0.500000 |                           CLAM_maxDcaV0 = 0.600000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.499997 +- 0.558434 (-0.000200%)  |          Lambda: 1.500000 +- 0.181239 (0.000000%)  |          Lambda: 1.500000 +- 0.194419 (0.000000%)  | 
         Radius: 6.016547 +- 0.224754 (0.512070%)  |          Radius: 5.985895 +- 0.234333 (0.000000%)  |          Radius: 5.996465 +- 0.229501 (0.176582%)  | 
          Ref0: -1.170927 +- 0.140869 (0.665154%)  |          Ref0: -1.163190 +- 0.137375 (-0.000000%)  |          Ref0: -1.161837 +- 0.134220 (-0.116318%)  | 
          Imf0: 0.635614 +- 0.139526 (-3.572561%)  |            Imf0: 0.659163 +- 0.146028 (0.000000%)  |            Imf0: 0.667118 +- 0.144625 (1.206834%)  | 
             d0: 0.777343 +- 0.403760 (8.025220%)  |              d0: 0.719594 +- 0.406702 (0.000000%)  |             d0: 0.795911 +- 0.380306 (10.605564%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.499997 +- 0.558434 (-0.000200%)  |          Lambda: 1.500000 +- 0.181239 (0.000000%)  |          Lambda: 1.500000 +- 0.194419 (0.000000%)  | 
         Radius: 6.016547 +- 0.224754 (0.512070%)  |          Radius: 5.985895 +- 0.234333 (0.000000%)  |          Radius: 5.996465 +- 0.229501 (0.176582%)  | 
          Ref0: -1.170927 +- 0.140869 (0.665154%)  |          Ref0: -1.163190 +- 0.137375 (-0.000000%)  |          Ref0: -1.161837 +- 0.134220 (-0.116318%)  | 
          Imf0: 0.635614 +- 0.139526 (-3.572561%)  |            Imf0: 0.659163 +- 0.146028 (0.000000%)  |            Imf0: 0.667118 +- 0.144625 (1.206834%)  | 
             d0: 0.777343 +- 0.403760 (8.025220%)  |              d0: 0.719594 +- 0.406702 (0.000000%)  |             d0: 0.795911 +- 0.380306 (10.605564%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.078780 +- 0.160033 (0.941219%)  |          Lambda: 1.068721 +- 0.157137 (0.000000%)  |         Lambda: 1.031551 +- 0.149288 (-3.477989%)  | 
         Radius: 4.535817 +- 0.363794 (0.695015%)  |          Radius: 4.504510 +- 0.364397 (0.000000%)  |         Radius: 4.435619 +- 0.353416 (-1.529378%)  | 
          Ref0: -1.170927 +- 0.140869 (0.665154%)  |          Ref0: -1.163190 +- 0.137375 (-0.000000%)  |          Ref0: -1.161837 +- 0.134220 (-0.116318%)  | 
          Imf0: 0.635614 +- 0.139526 (-3.572561%)  |            Imf0: 0.659163 +- 0.146028 (0.000000%)  |            Imf0: 0.667118 +- 0.144625 (1.206834%)  | 
             d0: 0.777343 +- 0.403760 (8.025220%)  |              d0: 0.719594 +- 0.406702 (0.000000%)  |             d0: 0.795911 +- 0.380306 (10.605564%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.078780 +- 0.160033 (0.941219%)  |          Lambda: 1.068721 +- 0.157137 (0.000000%)  |         Lambda: 1.031551 +- 0.149288 (-3.477989%)  | 
         Radius: 4.535817 +- 0.363794 (0.695015%)  |          Radius: 4.504510 +- 0.364397 (0.000000%)  |         Radius: 4.435619 +- 0.353416 (-1.529378%)  | 
          Ref0: -1.170927 +- 0.140869 (0.665154%)  |          Ref0: -1.163190 +- 0.137375 (-0.000000%)  |          Ref0: -1.161837 +- 0.134220 (-0.116318%)  | 
          Imf0: 0.635614 +- 0.139526 (-3.572561%)  |            Imf0: 0.659163 +- 0.146028 (0.000000%)  |            Imf0: 0.667118 +- 0.144625 (1.206834%)  | 
             d0: 0.777343 +- 0.403760 (8.025220%)  |              d0: 0.719594 +- 0.406702 (0.000000%)  |             d0: 0.795911 +- 0.380306 (10.605564%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
