                   ALLTRACKS_maxImpactZ = 2.400000 |                    ALLTRACKS_maxImpactZ = 3.000000 |                    ALLTRACKS_maxImpactZ = 3.600000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.100000 +- 0.454666 (0.000000%)  |          Lambda: 1.100000 +- 0.410719 (0.000000%)  |          Lambda: 1.100000 +- 0.395331 (0.000000%)  | 
        Radius: 5.774096 +- 0.588743 (-0.555530%)  |          Radius: 5.806352 +- 0.535473 (0.000000%)  |          Radius: 5.842494 +- 0.523241 (0.622456%)  | 
          Ref0: 0.226175 +- 0.123607 (-3.095129%)  |            Ref0: 0.233399 +- 0.114766 (0.000000%)  |            Ref0: 0.242233 +- 0.118788 (3.784935%)  | 
          Imf0: 0.351876 +- 0.103646 (-0.853188%)  |            Imf0: 0.354904 +- 0.094333 (0.000000%)  |            Imf0: 0.360969 +- 0.096150 (1.708913%)  | 
            d0: -5.812638 +- 3.026358 (0.522480%)  |            d0: -5.782426 +- 2.706389 (-0.000000%)  |            d0: -5.599806 +- 2.720054 (-3.158190%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.100000 +- 0.454666 (0.000000%)  |          Lambda: 1.100000 +- 0.410719 (0.000000%)  |          Lambda: 1.100000 +- 0.395331 (0.000000%)  | 
        Radius: 5.774096 +- 0.588743 (-0.555530%)  |          Radius: 5.806352 +- 0.535473 (0.000000%)  |          Radius: 5.842494 +- 0.523241 (0.622456%)  | 
          Ref0: 0.226175 +- 0.123607 (-3.095129%)  |            Ref0: 0.233399 +- 0.114766 (0.000000%)  |            Ref0: 0.242233 +- 0.118788 (3.784935%)  | 
          Imf0: 0.351876 +- 0.103646 (-0.853188%)  |            Imf0: 0.354904 +- 0.094333 (0.000000%)  |            Imf0: 0.360969 +- 0.096150 (1.708913%)  | 
            d0: -5.812638 +- 3.026358 (0.522480%)  |            d0: -5.782426 +- 2.706389 (-0.000000%)  |            d0: -5.599806 +- 2.720054 (-3.158190%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.779823 +- 0.117250 (0.497705%)  |          Lambda: 0.775961 +- 0.114630 (0.000000%)  |         Lambda: 0.773366 +- 0.113456 (-0.334424%)  | 
        Radius: 4.306258 +- 0.440512 (-0.298646%)  |          Radius: 4.319157 +- 0.423779 (0.000000%)  |          Radius: 4.339053 +- 0.420793 (0.460645%)  | 
          Ref0: 0.226175 +- 0.123607 (-3.095129%)  |            Ref0: 0.233399 +- 0.114766 (0.000000%)  |            Ref0: 0.242233 +- 0.118788 (3.784935%)  | 
          Imf0: 0.351876 +- 0.103646 (-0.853188%)  |            Imf0: 0.354904 +- 0.094333 (0.000000%)  |            Imf0: 0.360969 +- 0.096150 (1.708913%)  | 
            d0: -5.812638 +- 3.026358 (0.522480%)  |            d0: -5.782426 +- 2.706389 (-0.000000%)  |            d0: -5.599806 +- 2.720054 (-3.158190%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchP |                            AnalysisType = ALamKchP |                            AnalysisType = ALamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.779823 +- 0.117250 (0.497705%)  |          Lambda: 0.775961 +- 0.114630 (0.000000%)  |         Lambda: 0.773366 +- 0.113456 (-0.334424%)  | 
        Radius: 4.306258 +- 0.440512 (-0.298646%)  |          Radius: 4.319157 +- 0.423779 (0.000000%)  |          Radius: 4.339053 +- 0.420793 (0.460645%)  | 
          Ref0: 0.226175 +- 0.123607 (-3.095129%)  |            Ref0: 0.233399 +- 0.114766 (0.000000%)  |            Ref0: 0.242233 +- 0.118788 (3.784935%)  | 
          Imf0: 0.351876 +- 0.103646 (-0.853188%)  |            Imf0: 0.354904 +- 0.094333 (0.000000%)  |            Imf0: 0.360969 +- 0.096150 (1.708913%)  | 
            d0: -5.812638 +- 3.026358 (0.522480%)  |            d0: -5.782426 +- 2.706389 (-0.000000%)  |            d0: -5.599806 +- 2.720054 (-3.158190%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchM |                             AnalysisType = LamKchM |                             AnalysisType = LamKchM | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
