                           K0s_maxDcaV0 = 0.200000 |                            K0s_maxDcaV0 = 0.300000 |                            K0s_maxDcaV0 = 0.400000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.100000 +- 0.385615 (0.000000%)  |          Lambda: 1.100000 +- 0.370416 (0.000000%)  |          Lambda: 1.100000 +- 0.354740 (0.000000%)  | 
         Radius: 5.878205 +- 0.531387 (0.209652%)  |          Radius: 5.865907 +- 0.520133 (0.000000%)  |          Radius: 5.866884 +- 0.514293 (0.016656%)  | 
          Ref0: 0.091480 +- 0.127307 (-1.917056%)  |            Ref0: 0.093268 +- 0.125813 (0.000000%)  |          Ref0: 0.076954 +- 0.120788 (-17.491530%)  | 
          Imf0: 0.613127 +- 0.157906 (-1.033366%)  |            Imf0: 0.619529 +- 0.157395 (0.000000%)  |           Imf0: 0.609846 +- 0.152943 (-1.562962%)  | 
           d0: -2.259166 +- 1.215223 (-3.178586%)  |            d0: -2.333333 +- 1.229070 (-0.000000%)  |            d0: -2.290587 +- 1.216690 (-1.831972%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.100000 +- 0.385615 (0.000000%)  |          Lambda: 1.100000 +- 0.370416 (0.000000%)  |          Lambda: 1.100000 +- 0.354740 (0.000000%)  | 
         Radius: 5.878205 +- 0.531387 (0.209652%)  |          Radius: 5.865907 +- 0.520133 (0.000000%)  |          Radius: 5.866884 +- 0.514293 (0.016656%)  | 
          Ref0: 0.091480 +- 0.127307 (-1.917056%)  |            Ref0: 0.093268 +- 0.125813 (0.000000%)  |          Ref0: 0.076954 +- 0.120788 (-17.491530%)  | 
          Imf0: 0.613127 +- 0.157906 (-1.033366%)  |            Imf0: 0.619529 +- 0.157395 (0.000000%)  |           Imf0: 0.609846 +- 0.152943 (-1.562962%)  | 
           d0: -2.259166 +- 1.215223 (-3.178586%)  |            d0: -2.333333 +- 1.229070 (-0.000000%)  |            d0: -2.290587 +- 1.216690 (-1.831972%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.766079 +- 0.112739 (0.171817%)  |          Lambda: 0.764765 +- 0.111742 (0.000000%)  |         Lambda: 0.761032 +- 0.111731 (-0.488124%)  | 
         Radius: 4.328011 +- 0.423188 (0.272877%)  |          Radius: 4.316233 +- 0.415296 (0.000000%)  |         Radius: 4.303036 +- 0.415785 (-0.305753%)  | 
          Ref0: 0.091480 +- 0.127307 (-1.917056%)  |            Ref0: 0.093268 +- 0.125813 (0.000000%)  |          Ref0: 0.076954 +- 0.120788 (-17.491530%)  | 
          Imf0: 0.613127 +- 0.157906 (-1.033366%)  |            Imf0: 0.619529 +- 0.157395 (0.000000%)  |           Imf0: 0.609846 +- 0.152943 (-1.562962%)  | 
           d0: -2.259166 +- 1.215223 (-3.178586%)  |            d0: -2.333333 +- 1.229070 (-0.000000%)  |            d0: -2.290587 +- 1.216690 (-1.831972%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.766079 +- 0.112739 (0.171817%)  |          Lambda: 0.764765 +- 0.111742 (0.000000%)  |         Lambda: 0.761032 +- 0.111731 (-0.488124%)  | 
         Radius: 4.328011 +- 0.423188 (0.272877%)  |          Radius: 4.316233 +- 0.415296 (0.000000%)  |         Radius: 4.303036 +- 0.415785 (-0.305753%)  | 
          Ref0: 0.091480 +- 0.127307 (-1.917056%)  |            Ref0: 0.093268 +- 0.125813 (0.000000%)  |          Ref0: 0.076954 +- 0.120788 (-17.491530%)  | 
          Imf0: 0.613127 +- 0.157906 (-1.033366%)  |            Imf0: 0.619529 +- 0.157395 (0.000000%)  |           Imf0: 0.609846 +- 0.152943 (-1.562962%)  | 
           d0: -2.259166 +- 1.215223 (-3.178586%)  |            d0: -2.333333 +- 1.229070 (-0.000000%)  |            d0: -2.290587 +- 1.216690 (-1.831972%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.848765 +- 0.145215 (-0.752107%)  |          Lambda: 0.855197 +- 0.145208 (0.000000%)  |         Lambda: 0.852868 +- 0.145016 (-0.272335%)  | 
        Radius: 3.477791 +- 0.381948 (-0.143104%)  |          Radius: 3.482775 +- 0.380251 (0.000000%)  |         Radius: 3.471025 +- 0.377257 (-0.337375%)  | 
          Ref0: 0.091480 +- 0.127307 (-1.917056%)  |            Ref0: 0.093268 +- 0.125813 (0.000000%)  |          Ref0: 0.076954 +- 0.120788 (-17.491530%)  | 
          Imf0: 0.613127 +- 0.157906 (-1.033366%)  |            Imf0: 0.619529 +- 0.157395 (0.000000%)  |           Imf0: 0.609846 +- 0.152943 (-1.562962%)  | 
           d0: -2.259166 +- 1.215223 (-3.178586%)  |            d0: -2.333333 +- 1.229070 (-0.000000%)  |            d0: -2.290587 +- 1.216690 (-1.831972%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.848765 +- 0.145215 (-0.752107%)  |          Lambda: 0.855197 +- 0.145208 (0.000000%)  |         Lambda: 0.852868 +- 0.145016 (-0.272335%)  | 
        Radius: 3.477791 +- 0.381948 (-0.143104%)  |          Radius: 3.482775 +- 0.380251 (0.000000%)  |         Radius: 3.471025 +- 0.377257 (-0.337375%)  | 
          Ref0: 0.091480 +- 0.127307 (-1.917056%)  |            Ref0: 0.093268 +- 0.125813 (0.000000%)  |          Ref0: 0.076954 +- 0.120788 (-17.491530%)  | 
          Imf0: 0.613127 +- 0.157906 (-1.033366%)  |            Imf0: 0.619529 +- 0.157395 (0.000000%)  |           Imf0: 0.609846 +- 0.152943 (-1.562962%)  | 
           d0: -2.259166 +- 1.215223 (-3.178586%)  |            d0: -2.333333 +- 1.229070 (-0.000000%)  |            d0: -2.290587 +- 1.216690 (-1.831972%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
      Chi2 = 1086.208  NDF = 981  Chi2/NDF = 1.107 |       Chi2 = 1086.834  NDF = 981  Chi2/NDF = 1.108 |       Chi2 = 1097.072  NDF = 981  Chi2/NDF = 1.118 | 
                                                   |                                                    |                                                    | 
