                        minAvgSepPosPos = 5.000000 |                         minAvgSepPosPos = 6.000000 |                         minAvgSepPosPos = 7.000000 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.130495 +- 0.247288 (0.037608%)  |          Lambda: 1.130070 +- 0.265685 (0.000000%)  |          Lambda: 1.132440 +- 0.254908 (0.209722%)  | 
         Radius: 6.047523 +- 0.750417 (0.157369%)  |          Radius: 6.038021 +- 0.796908 (0.000000%)  |         Radius: 6.036119 +- 0.764311 (-0.031500%)  | 
          Ref0: -0.631844 +- 0.120545 (0.024062%)  |          Ref0: -0.631692 +- 0.126358 (-0.000000%)  |          Ref0: -0.630121 +- 0.122228 (-0.248697%)  | 
           Imf0: 0.513675 +- 0.143902 (0.505978%)  |            Imf0: 0.511089 +- 0.143935 (0.000000%)  |           Imf0: 0.509200 +- 0.144553 (-0.369603%)  | 
             d0: 0.751328 +- 0.485612 (0.130473%)  |              d0: 0.750349 +- 0.492270 (0.000000%)  |             d0: 0.746409 +- 0.492939 (-0.525089%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.130495 +- 0.247288 (0.037608%)  |          Lambda: 1.130070 +- 0.265685 (0.000000%)  |          Lambda: 1.132440 +- 0.254908 (0.209722%)  | 
         Radius: 6.047523 +- 0.750417 (0.157369%)  |          Radius: 6.038021 +- 0.796908 (0.000000%)  |         Radius: 6.036119 +- 0.764311 (-0.031500%)  | 
          Ref0: -0.631844 +- 0.120545 (0.024062%)  |          Ref0: -0.631692 +- 0.126358 (-0.000000%)  |          Ref0: -0.630121 +- 0.122228 (-0.248697%)  | 
           Imf0: 0.513675 +- 0.143902 (0.505978%)  |            Imf0: 0.511089 +- 0.143935 (0.000000%)  |           Imf0: 0.509200 +- 0.144553 (-0.369603%)  | 
             d0: 0.751328 +- 0.485612 (0.130473%)  |              d0: 0.750349 +- 0.492270 (0.000000%)  |             d0: 0.746409 +- 0.492939 (-0.525089%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.800292 +- 0.167644 (0.065394%)  |          Lambda: 0.799769 +- 0.173727 (0.000000%)  |          Lambda: 0.801149 +- 0.170253 (0.172550%)  | 
         Radius: 4.498063 +- 0.495939 (0.157248%)  |          Radius: 4.491001 +- 0.508994 (0.000000%)  |         Radius: 4.488157 +- 0.497824 (-0.063327%)  | 
          Ref0: -0.631844 +- 0.120545 (0.024062%)  |          Ref0: -0.631692 +- 0.126358 (-0.000000%)  |          Ref0: -0.630121 +- 0.122228 (-0.248697%)  | 
           Imf0: 0.513675 +- 0.143902 (0.505978%)  |            Imf0: 0.511089 +- 0.143935 (0.000000%)  |           Imf0: 0.509200 +- 0.144553 (-0.369603%)  | 
             d0: 0.751328 +- 0.485612 (0.130473%)  |              d0: 0.750349 +- 0.492270 (0.000000%)  |             d0: 0.746409 +- 0.492939 (-0.525089%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                           AnalysisType = ALamKchM |                            AnalysisType = ALamKchM |                            AnalysisType = ALamKchM | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.800292 +- 0.167644 (0.065394%)  |          Lambda: 0.799769 +- 0.173727 (0.000000%)  |          Lambda: 0.801149 +- 0.170253 (0.172550%)  | 
         Radius: 4.498063 +- 0.495939 (0.157248%)  |          Radius: 4.491001 +- 0.508994 (0.000000%)  |         Radius: 4.488157 +- 0.497824 (-0.063327%)  | 
          Ref0: -0.631844 +- 0.120545 (0.024062%)  |          Ref0: -0.631692 +- 0.126358 (-0.000000%)  |          Ref0: -0.630121 +- 0.122228 (-0.248697%)  | 
           Imf0: 0.513675 +- 0.143902 (0.505978%)  |            Imf0: 0.511089 +- 0.143935 (0.000000%)  |           Imf0: 0.509200 +- 0.144553 (-0.369603%)  | 
             d0: 0.751328 +- 0.485612 (0.130473%)  |              d0: 0.750349 +- 0.492270 (0.000000%)  |             d0: 0.746409 +- 0.492939 (-0.525089%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                            AnalysisType = LamKchP |                             AnalysisType = LamKchP |                             AnalysisType = LamKchP | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
